,0,1,2,3,4,5,6
[0.],-0.19238628045730288,-0.18423465310630646,0.0,0.0,0.0,0.0,-0.21538134431051784
[2.],-0.10676838792288518,-0.10898618117799343,-0.10811284540010886,-0.11021551201173639,-0.10782877600921284,-0.10724386174697127,-0.09852056010900714
[4.],-0.054638169152822234,-0.06491023569781118,-0.06412604865512272,-0.06313434738123512,-0.0648087416931477,-0.05654684933263441,-0.058710501937703254
[6.],-0.030763641108542475,-0.028473589894892674,-0.0304696269786316,-0.03662068406696084,-0.033058794040264,-0.03315299200125348,-0.02986390113213916
[8.],-0.012174206441344758,-0.016774657657026026,-0.011887334341579032,-0.020030157541491234,-0.012209421791211966,-0.016333431440339025,-0.0118786826042466
[10.],-0.0008387317658465504,-0.000893182479625397,-0.0008757714023021932,-0.0008815301180859393,-0.007145849689060447,-0.00549818033157024,-0.0009041995894082639
[12.],-0.0018077880542781946,-0.002506791259591014,-0.00021340141330431267,-0.005531224085725149,-0.0019571259389843413,-0.0019808374263449112,-0.0014492936365795533
[14.],0.007137426610861318,0.006944600933257199,0.011215250279810508,0.005728840917441613,0.006403637607779655,0.006524450525190852,0.011197255059754071
[16.],0.010008282158171343,0.01668499703315291,0.007267285515533023,0.007060689538702495,0.00896107139367526,0.010369762996839348,0.0025537873607335494
[18.],0.01013393669801018,0.025805217114945957,0.008107363575879977,0.009661041295720835,0.009481624516633596,0.009567722431390785,0.006013406960887007
[20.],0.0329487284353459,-0.0022119589747303446,0.0077721112311249394,0.006330986441891513,0.015744996776480794,0.0064748997059872965,-0.001323852176513712
[19.],0.0026937859846945535,0.005162100286096958,0.027017661682506713,0.005417056913114078,0.0005131667922076511,0.0041460203739591885,0.0047947232850561235
[17.],0.008222564146773899,0.005438143728100492,0.01922675546250439,0.005680602653806689,0.003918821463005642,0.0006071454806232237,0.014034869158413746
[21.],-0.0036503857240080782,0.0035508524994815106,0.04249794954608417,0.0009322763400976518,0.0033491738998438414,0.004631374510515552,0.001674102831049172
[22.],0.007785103788797782,0.016263509146164846,0.04978985918721068,0.003093265921355824,0.004070705654389644,0.013252873403184382,0.0019594202613289428
[24.],0.0006811433364085233,0.0019592064425283675,0.011129694422328635,0.0656284407436608,0.003194198126965219,0.0013414935935147096,0.0008597047844093736
[26.],-0.009863451437988023,0.0005901371565549356,3.1505750789531684e-05,0.0008092681376599169,0.0213375662934985,0.0016098975223254137,0.0017144604685787937
[25.],0.001271337960067307,-0.008265705271736578,0.0018863379680281143,0.0006859185205438062,0.0008673591000562475,0.0006507596988978423,0.08833192206839008
