,0,1,2,3,4,5,6
[3.],-0.08786912204745131,-0.08852370545037215,-0.0878695423526961,-0.08822450622161604,-0.08939337188239709,-0.09532237436701767,-0.08807827562921028
terminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[13.],0.002662960063505399,0.006273307622093304,0.0025454097481695448,0.00350773868595298,0.004221769716573653,0.003423518804119191,0.0027934787580827613
[1.],-0.15201436451433606,-0.1550515217983218,-0.14563699838740593,-0.15883287810718785,-0.1525880050147542,-0.1533047876229339,-0.158874610820489
[34.],0.0,0.0,0.0,0.002469317978576672,0.0,0.0,0.0
[36.],0.0,0.0022460657713439303,0.0,0.0,0.0,0.0,0.0
[40.],0.0,0.0004980571209269537,0.0,0.0,0.0,0.0,4.49064e-06
[42.],0.0008379573384291282,0.0,0.0,0.0,8.740758855944071e-05,9.338045763386216e-05,0.0
[44.],0.0,0.0,0.0,0.0,8.034206524020738e-08,0.0,0.019964591415259164
[46.],2.952450000000001e-14,0.0,0.010556830242265952,1.4872976747715272e-09,0.0,0.0,0.0
[48.],0.0,3.7099539000000015e-10,0.009984953101341345,0.0,0.0,0.0,0.0
[50.],0.000494059860855,0.0,0.0,0.0,0.0,0.0,0.0
[52.],0.0,0.0,0.0,0.0,0.0,0.0004852635545295886,0.0
[54.],0.0,0.0,0.0,0.0,0.0004944997504484633,0.0,0.0
[56.],0.0,0.0,0.0,0.0004895931166113765,0.0,0.0,0.0
[58.],0.0,0.0,0.0,0.0,0.0,0.0,0.0004751480343121579
[60.],0.0,0.0,0.0,0.0,0.0,0.0,0.0004891096155788118
[62.],0.0,0.0,0.0,0.00048482330123211516,0.0,0.0,0.0
[64.],0.0,0.0,0.0,0.0,0.0,0.0,0.0004948744577749728
[66.],0.0,0.0,0.0,0.0,0.010658039169308518,0.0,0.0
[68.],0.0,0.0,0.0,0.010290634119887301,0.0,0.0,0.0
[70.],0.0,0.0,0.0,0.0,0.0,0.0005881182900382533,0.0
[72.],0.010379972009489149,0.0,0.0,0.0,8.843002471795299e-06,0.0,0.0
[74.],0.0,0.0,0.0,0.0,0.0,0.0004929173338789718,0.01
[76.],0.0,0.0,0.0,0.00048503364553786687,0.0,0.0,0.0
[78.],0.0,0.0,0.0,0.000495,0.0,0.0,0.0
[80.],0.0,0.0,0.0,0.0,0.0,0.0,0.0005
[82.],0.0,0.0,0.0,0.0005,0.0,0.0,0.0
[84.],0.0,0.0,0.0,0.0,0.0,0.0004950072997430851,0.0
[86.],0.0,0.0005002495988094855,0.0,0.0,0.0,0.0,0.0
[88.],0.0,0.0,0.0,0.000581955869043405,0.0,0.0,0.0
[90.],0.0,0.0,0.0,0.0,0.0,0.0,0.000495
[89.],0.0,0.0,0.0004990050000000001,0.0,0.0,0.0,0.0
[91.],0.0,0.0,0.0004995,0.0,0.0,0.0,0.0
[93.],0.0,0.0,0.0,0.0,0.0004995,0.0,0.0
[95.],0.0,0.0,0.0,0.0,0.0,0.0,0.0005
[97.],0.0,0.0,0.0,0.0,0.0,0.0,0.0005
[99.],0.0,0.0,0.0,0.0,0.0,0.0005,0.0
[101.],0.0,0.0,0.0005,0.0,0.0,0.0,0.0
[103.],0.0,0.0,0.0,0.0,0.0,0.0005,0.0
[105.],0.0,0.0,0.0,0.0005,0.0,0.0,0.0
[107.],0.0,0.0,0.0,0.0,0.0,0.0005,0.0
[109.],0.0,0.0,0.0,0.0,0.0,0.0,0.0005
[111.],0.0,0.0,0.0005,0.0,0.0,0.0,0.0
[113.],0.0,0.0,0.0,0.0005,0.0,0.0,0.0
[115.],0.0005,0.0,0.0,0.0,0.0,0.0,0.0
[117.],0.0,0.0,0.0,0.0,0.0,0.0,0.0005
[119.],0.0,0.0,0.0,0.0,0.0,0.0,0.0005
[121.],0.0,0.0,0.0,0.0,0.0005,0.0,0.0
[123.],0.0,0.0,0.0,0.0,0.0,0.0005,0.0
[125.],0.0005,0.0,0.0,0.0,0.0,0.0,0.0
[127.],0.0,0.0,0.0,0.0,0.0005,0.0,0.0
[129.],0.0,0.0,0.0,0.0,0.0005,0.0,0.0
[131.],0.0,0.0005,0.0,0.0,0.0,0.0,0.0
[133.],0.0,0.0,0.0,0.0,0.0,0.0,0.0005
[135.],0.0,0.0,0.0,0.0,0.0,0.0005,0.0
[137.],0.0,0.0005,0.0,0.0,0.0,0.0,0.0
[139.],0.0,0.0,0.0,0.0,0.0,0.0,0.0005
[141.],0.0005,0.0,0.0,0.0,0.0,0.0,0.0
[143.],0.0005,0.0,0.0,0.0,0.0,0.0,0.0
[145.],0.0,0.0005,0.0,0.0,0.0,0.0,0.0
[147.],0.02019154542406283,0.0,0.0,0.0,0.0,0.0,0.0
[149.],0.0,0.0,0.0,0.0004864126627225236,0.0,0.0,0.0
[151.],0.0,0.0,0.00048482217168654214,0.0,0.0,0.0,0.0
[153.],0.0,0.0005,0.0,0.0,0.0,0.0,0.0
[155.],0.0,0.0,0.0,0.0,0.0005,0.0,0.0
[157.],0.0,0.0,0.0005,0.0,0.0,0.0,0.0
[159.],0.0005,0.0,0.0,0.0,0.0,0.0,0.0
[161.],0.0,0.0,0.0005,0.0,0.0,0.0,0.0
[163.],0.0,0.0,0.0,0.0,0.0,0.0,0.0005
[165.],0.0,0.0,0.0,0.0,0.0005,0.0,0.0
[167.],0.0,0.0,0.0,0.0,0.0,0.0,0.0005
[169.],0.0005,0.0,0.0,0.0,0.0,0.0,0.0
[171.],0.0005,0.0,0.0,0.0,0.0,0.0,0.0
[173.],0.0,0.0,0.0,0.0,0.0,0.0005,0.0
[175.],0.0,0.0,0.0,0.0005,0.0,0.0,0.0
[177.],0.0005,0.0,0.0,0.0,0.0,0.0,0.0
[181.],0.0,0.0,0.0,0.0005,0.0,0.0,0.0
[183.],0.0,0.0,0.0,0.0,0.0,0.0,0.0005
[185.],0.0,0.0,0.0,0.0,0.0,0.0005,0.0
[187.],0.0,0.0,0.0005,0.0,0.0,0.0,0.0
[189.],0.0,0.0,0.0,0.0,0.0,0.0,0.0005
[188.],0.0,0.0,0.0,0.0,0.0,0.0,0.0005
[190.],0.0,0.0,0.0,0.0005,0.0,0.0,0.0
[192.],0.0,0.0,0.0005,0.0,0.0,0.0,0.0
[194.],0.0005,0.0,0.0,0.0,0.0,0.0,0.0
[196.],0.0,0.0,0.0005,0.0,0.0,0.0,0.0
[198.],0.0,0.0,0.0,0.0,0.01,0.0,0.0
[43.],0.0,0.0,0.0,2.56638502823634e-05,0.0,0.0,0.0
[45.],0.0,0.00012485333572579785,0.0,0.0,0.0,4.281416316558446e-06,9.486497436032745e-05
[47.],0.0,0.0,0.0,0.0,3.419811706922046e-05,0.0,9.313130358e-07
[49.],0.0,0.0,0.0,0.0,3.8904138404999996e-08,0.0001813694777656901,0.0
[51.],0.0,4.068725805739436e-06,0.0,0.0,0.0,0.0,0.0
[41.],0.0,0.0,0.0,0.0,0.0,0.0,0.009619307716274695
[53.],0.0,0.0,4.448317273267186e-06,0.0,0.0,0.0,0.0
[55.],0.0,0.0,8.852351323730844e-06,0.0,0.0,0.0,0.0
[57.],0.0,0.0,0.0,0.0,0.0,9.159812376807553e-06,0.0
[59.],0.0,0.0,0.0,2.1516618146278117e-05,0.0,0.0,0.0
[61.],0.0,0.0,0.0,1.3306851855786994e-05,0.0,0.0,0.0
[63.],0.0,0.0,0.0,4.60881536110318e-06,0.0,0.0,0.0
[65.],0.0,0.0,1.7531564318513162e-05,0.0,0.0,0.0,0.0
[67.],0.0,0.0,1.0492421301092813e-05,4.450905855265722e-06,0.0,0.0,0.0
[69.],0.0,0.0,0.0,8.059500000000001e-08,0.0,0.0,0.0
[71.],4.1921126378100005e-08,0.0,0.0,8.118893106198031e-08,0.0,9.024014492680067e-06,0.0
[73.],0.0,0.0,0.0,0.0,1.76182769644517e-05,0.0,0.0
[75.],0.0,0.0,0.0,0.0,0.0,1.3043551435200003e-05,0.0
[77.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[79.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[81.],0.0,0.0,0.0,0.0,3.280500000000001e-12,0.0,0.0
[85.],0.0,0.0,0.00018188228826900002,0.0,0.0,0.0,0.0
[87.],0.009809861845500001,0.0,4.5e-06,0.0,0.0,0.0,0.0
[94.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[96.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[98.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[100.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[102.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[104.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[106.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[108.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[110.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[112.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[114.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[116.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[118.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[120.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[122.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[124.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[126.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[128.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[130.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[132.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[134.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[136.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[138.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[140.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[142.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[144.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[146.],8.055450000000002e-08,0.0,0.0,0.0,0.0,0.0,0.0
[148.],0.0,0.0,0.0,0.0002865167297522207,0.0,0.0,0.0
[83.],0.0,1.6460862322500001e-06,0.0,0.0,0.0,0.0,0.0
[92.],0.0,0.0,0.0,0.0,0.0,0.0,0.0
[150.],0.0,0.0,0.0,0.0,0.0,0.0,1.3183854865523099e-05
